"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"49","RT @JMKTV: This is going viral on Facebook right now. How is she not signed? Her pitch, the control of her voice and SHE HAS NO MIC! Wow. N…",FALSE,0,NA,2018-02-26 17:02:17,FALSE,NA,"968169358915784704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_itschriswatts",4927,TRUE,FALSE,NA,NA
"50","RT @JMKTV: This is going viral on Facebook right now. How is she not signed? Her pitch, the control of her voice and SHE HAS NO MIC! Wow. N…",FALSE,0,NA,2018-02-26 17:02:13,FALSE,NA,"968169342696394752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_Denice27",4927,TRUE,FALSE,NA,NA
"51","RT @JMKTV: This is going viral on Facebook right now. How is she not signed? Her pitch, the control of her voice and SHE HAS NO MIC! Wow. N…",FALSE,0,NA,2018-02-26 17:02:13,FALSE,NA,"968169340569866240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DajiaBrashae",4927,TRUE,FALSE,NA,NA
"52","RT @JMKTV: This is going viral on Facebook right now. How is she not signed? Her pitch, the control of her voice and SHE HAS NO MIC! Wow. N…",FALSE,0,NA,2018-02-26 17:02:05,FALSE,NA,"968169309175508993",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gotmyownstep",4927,TRUE,FALSE,NA,NA
"53","RT @kissmemyfan_: [<U+2600><U+FE0F>] 180217 <U+7231><U+5947><U+827A><U+5A31><U+4E50> Weibo : #Wuyifan #KrisWu <U+0E2D><U+0E22><U+0E39><U+0E48><U+0E17><U+0E35><U+0E21><U+0E40><U+0E14><U+0E35><U+0E22><U+0E27><U+0E01><U+0E31><U+0E1A> Justin Bieber <U+0E17><U+0E35><U+0E21> Lakers <U+0E43><U+0E19><U+0E01><U+0E32><U+0E23><U+0E41><U+0E02><U+0E48><U+0E07><U+0E02><U+0E31><U+0E19> #NBA All-Star Celebrity…",FALSE,0,NA,2018-02-26 17:02:01,FALSE,NA,"968169293186613249",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UtumwanC",589,TRUE,FALSE,NA,NA
"54","RT @kissmemyfan_: [FaNCAM] 180217 #Wuyifan #KrisWu &amp; Justin Bieber @ #NBA All-Star Celebrity Game Cr.PrinceKris #KrisWuNBACelebGame

<U+0E1D><U+0E32><U+0E19><U+0E1D><U+0E32><U+0E19>…",FALSE,0,NA,2018-02-26 17:01:57,FALSE,NA,"968169276090630144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UtumwanC",1914,TRUE,FALSE,NA,NA
"55","RT @JMKTV: This is going viral on Facebook right now. How is she not signed? Her pitch, the control of her voice and SHE HAS NO MIC! Wow. N…",FALSE,0,NA,2018-02-26 17:01:43,FALSE,NA,"968169216103845888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MikeThrone_",4927,TRUE,FALSE,NA,NA
"56","RT @JMKTV: This is going viral on Facebook right now. How is she not signed? Her pitch, the control of her voice and SHE HAS NO MIC! Wow. N…",FALSE,0,NA,2018-02-26 17:01:40,FALSE,NA,"968169205165158400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zahbased",4927,TRUE,FALSE,NA,NA
"57","RT @JMKTV: This is going viral on Facebook right now. How is she not signed? Her pitch, the control of her voice and SHE HAS NO MIC! Wow. N…",FALSE,0,NA,2018-02-26 17:01:37,FALSE,NA,"968169189792997378",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kaylaamoee",4927,TRUE,FALSE,NA,NA
"58","RT @JMKTV: This is going viral on Facebook right now. How is she not signed? Her pitch, the control of her voice and SHE HAS NO MIC! Wow. N…",FALSE,0,NA,2018-02-26 17:01:36,FALSE,NA,"968169187091902464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Shane_Dial916",4927,TRUE,FALSE,NA,NA
"59","RT @JMKTV: This is going viral on Facebook right now. How is she not signed? Her pitch, the control of her voice and SHE HAS NO MIC! Wow. N…",FALSE,0,NA,2018-02-26 17:01:30,FALSE,NA,"968169163347939336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SooChill",4927,TRUE,FALSE,NA,NA
"60","RT @JMKTV: This is going viral on Facebook right now. How is she not signed? Her pitch, the control of her voice and SHE HAS NO MIC! Wow. N…",FALSE,0,NA,2018-02-26 17:01:12,FALSE,NA,"968169085149286400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RonaldMatters",4927,TRUE,FALSE,NA,NA
"61","RT @JMKTV: This is going viral on Facebook right now. How is she not signed? Her pitch, the control of her voice and SHE HAS NO MIC! Wow. N…",FALSE,0,NA,2018-02-26 17:01:08,FALSE,NA,"968169071299743749",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_famousnunu",4927,TRUE,FALSE,NA,NA
"62","RT @JMKTV: This is going viral on Facebook right now. How is she not signed? Her pitch, the control of her voice and SHE HAS NO MIC! Wow. N…",FALSE,0,NA,2018-02-26 17:01:03,FALSE,NA,"968169050365980673",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Emerald_will",4927,TRUE,FALSE,NA,NA
"63","RT @JMKTV: This is going viral on Facebook right now. How is she not signed? Her pitch, the control of her voice and SHE HAS NO MIC! Wow. N…",FALSE,0,NA,2018-02-26 17:00:58,FALSE,NA,"968169028542980096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RJtheTech",4927,TRUE,FALSE,NA,NA
"64","RT @JMKTV: This is going viral on Facebook right now. How is she not signed? Her pitch, the control of her voice and SHE HAS NO MIC! Wow. N…",FALSE,0,NA,2018-02-26 17:00:56,FALSE,NA,"968169018434686976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","itsgabbss",4927,TRUE,FALSE,NA,NA
"65","RT @JMKTV: This is going viral on Facebook right now. How is she not signed? Her pitch, the control of her voice and SHE HAS NO MIC! Wow. N…",FALSE,0,NA,2018-02-26 17:00:49,FALSE,NA,"968168991389880320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lovebugmyri",4927,TRUE,FALSE,NA,NA
"66","RT @JMKTV: This is going viral on Facebook right now. How is she not signed? Her pitch, the control of her voice and SHE HAS NO MIC! Wow. N…",FALSE,0,NA,2018-02-26 17:00:49,FALSE,NA,"968168989515010049",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","arthurmurry11",4927,TRUE,FALSE,NA,NA
"67","RT @JMKTV: This is going viral on Facebook right now. How is she not signed? Her pitch, the control of her voice and SHE HAS NO MIC! Wow. N…",FALSE,0,NA,2018-02-26 17:00:48,FALSE,NA,"968168986901958658",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","denastaa",4927,TRUE,FALSE,NA,NA
"68","RT @JMKTV: This is going viral on Facebook right now. How is she not signed? Her pitch, the control of her voice and SHE HAS NO MIC! Wow. N…",FALSE,0,NA,2018-02-26 17:00:46,FALSE,NA,"968168975472451585",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mariopitman_3",4927,TRUE,FALSE,NA,NA
"69","RT @JMKTV: This is going viral on Facebook right now. How is she not signed? Her pitch, the control of her voice and SHE HAS NO MIC! Wow. N…",FALSE,0,NA,2018-02-26 17:00:45,FALSE,NA,"968168973891178500",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AmeAride_",4927,TRUE,FALSE,NA,NA
"70","RT @JMKTV: This is going viral on Facebook right now. How is she not signed? Her pitch, the control of her voice and SHE HAS NO MIC! Wow. N…",FALSE,0,NA,2018-02-26 17:00:38,FALSE,NA,"968168942148685825",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","marcodegad531",4927,TRUE,FALSE,NA,NA
"71","RT @JMKTV: This is going viral on Facebook right now. How is she not signed? Her pitch, the control of her voice and SHE HAS NO MIC! Wow. N…",FALSE,0,NA,2018-02-26 17:00:30,FALSE,NA,"968168907956776963",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","essence_kays",4927,TRUE,FALSE,NA,NA
"72","RT @JMKTV: This is going viral on Facebook right now. How is she not signed? Her pitch, the control of her voice and SHE HAS NO MIC! Wow. N…",FALSE,0,NA,2018-02-26 17:00:26,FALSE,NA,"968168893268287488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Bianca_Drama",4927,TRUE,FALSE,NA,NA
"73","RT @JMKTV: This is going viral on Facebook right now. How is she not signed? Her pitch, the control of her voice and SHE HAS NO MIC! Wow. N…",FALSE,0,NA,2018-02-26 17:00:16,FALSE,NA,"968168852231278597",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","snowconee_",4927,TRUE,FALSE,NA,NA
